what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357127873497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357127878770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357127880876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357127890439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357127894557
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1357127928550
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357127964071
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357127965709
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357127968673
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357127973181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1357127985568
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1357128001464
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357128003196
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128008952
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357128012493
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128023211
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357128027001
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128091476
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357128102194
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128112692
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1357128125328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357128126186
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357128130352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128141100
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128144095
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128145203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128146326
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128150273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128189288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128197525
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128202673
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128204920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128206839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128331963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128337017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128338499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357128348436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128349981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128351104
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128352414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128354598
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128356533
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357128359762
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128364021
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128365581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128366548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128367468
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128368841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128374722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128375487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128387873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128396391
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128400057
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357128404144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128411897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128415501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128415953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128417856
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128420352
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1357128435001
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357128438776
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357128471302
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128473985
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357128477371
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128487386
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1357128489991
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357128490865
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128492409
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128494234
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357128496995
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128507791
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128514686
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128524561
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1357128544654
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128544872
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128545012
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128564731
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128564731
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1357128589160
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1357128622404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128632014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128650578
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128650999
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128651124
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128653370
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128656287
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128656287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357128661607
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128673557
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357128738281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128792959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128793006
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357128795596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128798029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128821602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128823942
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357128966822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129021001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129021126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357129041593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357129046320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129077583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129078628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129079127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129080453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129081046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129089470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129097457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129098549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129199746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129204785
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1357129204879
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1357129215549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129222569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129226142
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1357129226189
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357129227858
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1357129272380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129279322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129304797
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357129305203
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357129305312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357129319055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357129329882
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129348820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129353563
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1357129353578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129357931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129360208
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1357129360240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129373297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129376744
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1357129376791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357129379069
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357129383671
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357129383671
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357129385746
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357129385746
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1357129387696
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357129387696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129395106
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129397586
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129397836
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1357129399318
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,16.0.1.v201112150204-238534,"overlay.com.android.ide.eclipse.adt.overlay",1357129399318
